,Image Name,Image Date and Time,Elapsed Time,Stage Label,Wavelength,Z Position,Cell: ObjectID,Cell: DAPI_Area_Average,Cell: DAPI_Integrated_Intensity,Cell: DAPI_Average_Intensity,Cell: FITC_Integrated_Intensity,Cell: FITC_Average_Intensity,Cell: TRITC_Integrated_Intensity,Cell: TRITC_Average_Intensity,Cell: CY5_Integrated_Intensity,Cell: CY5_Average_Intensity,Cell: Features Count_Sum,Cell: Nuc_Area_Sum,Cell: NucFITC_Integrated_Intensity_Sum,Cell: NucFITC_Average_Intensity_Sum
36,DAPI-FIXED,15:53:52.210000,00:00:00,D03 : Site 3,440.0,12350.4,8.0,325.1235375,960189.0,307.1621880998081,382308.0,122.29942418426104,379154.0,121.29046705054382,487941.0,156.0911708253359,0.0,65535.0,65535.0,65535.0
37,DAPI-FIXED,15:53:52.210000,00:00:00,D03 : Site 3,440.0,12350.4,9.0,271.35230625,757920.0,290.5021080873898,315819.0,121.04982752012265,312939.0,119.94595630509774,365568.0,140.11805289382906,0.0,65535.0,65535.0,65535.0
38,DAPI-FIXED,15:53:52.210000,00:00:00,D03 : Site 3,440.0,12350.4,10.0,303.69825000000003,974268.0,333.65342465753423,358460.0,122.76027397260275,353359.0,121.01335616438357,343542.0,117.6513698630137,0.0,65535.0,65535.0,65535.0
39,DAPI-FIXED,15:53:52.210000,00:00:00,D03 : Site 3,440.0,12350.4,11.0,287.36926875,867449.0,313.9518639160333,333240.0,120.60803474484256,332428.0,120.31415128483532,387330.0,140.18458197611292,0.0,65535.0,65535.0,65535.0
40,DAPI-FIXED,15:53:52.210000,00:00:00,D03 : Site 3,440.0,12350.4,12.0,310.04263125,781153.0,262.0439449849044,358865.0,120.3840992955384,360018.0,120.77088225427708,433103.0,145.28782287822878,0.0,65535.0,65535.0,65535.0
41,DAPI-FIXED,15:53:52.210000,00:00:00,D03 : Site 3,440.0,12350.4,13.0,248.99096250000002,651580.0,272.172096908939,295812.0,123.56390977443608,295993.0,123.63951545530493,334178.0,139.58980785296575,0.0,65535.0,65535.0,65535.0
42,DAPI-FIXED,15:53:52.210000,00:00:00,D03 : Site 3,440.0,12350.4,14.0,306.50641875,951639.0,322.9178825924669,359915.0,122.12928401764506,356112.0,120.83881913810654,346129.0,117.45130641330167,0.0,65535.0,65535.0,65535.0
43,DAPI-FIXED,15:53:52.210000,00:00:00,D03 : Site 3,440.0,12350.4,15.0,319.091175,958369.0,312.375814863103,368007.0,119.95013037809647,365983.0,119.29041720990874,354674.0,115.60430247718384,0.0,65535.0,65535.0,65535.0
44,DAPI-FIXED,15:53:52.210000,00:00:00,D03 : Site 3,440.0,12350.4,16.0,265.94398125000004,696986.0,272.57958545170123,314144.0,122.8564724286273,313084.0,122.44192412983966,401781.0,157.1298396558467,0.0,65535.0,65535.0,65535.0
45,DAPI-FIXED,15:53:52.210000,00:00:00,D03 : Site 3,440.0,12350.4,17.0,138.12030000000001,453752.0,341.6807228915663,166371.0,125.27936746987952,160952.0,121.1987951807229,155603.0,117.17093373493977,0.0,65535.0,65535.0,65535.0
46,DAPI-FIXED,15:53:52.210000,00:00:00,D03 : Site 3,440.0,12350.4,18.0,215.50095000000002,547204.0,264.0945945945946,246282.0,118.86196911196912,244932.0,118.2104247104247,237950.0,114.84073359073359,0.0,65535.0,65535.0,65535.0
47,DAPI-FIXED,15:53:52.210000,00:00:00,D03 : Site 3,440.0,12350.4,19.0,140.51244375,461854.0,341.86084381939304,169799.0,125.6839378238342,163246.0,120.83345669874167,158297.0,117.17024426350851,0.0,65535.0,65535.0,65535.0
48,DAPI-FIXED,15:53:52.210000,00:00:00,D03 : Site 3,440.0,12350.4,20.0,232.66198125,569660.0,254.65355386678587,272343.0,121.7447474295932,276078.0,123.41439427805096,261715.0,116.99374161823872,0.0,65535.0,65535.0,65535.0
49,DAPI-FIXED,15:54:00.196000,00:00:00,D03 : Site 4,440.0,12353.52,1.0,243.374625,701197.0,299.6568376068376,283519.0,121.16196581196581,282131.0,120.56880341880341,368085.0,157.30128205128204,0.0,65535.0,65535.0,65535.0
50,DAPI-FIXED,15:54:00.196000,00:00:00,D03 : Site 4,440.0,12353.52,2.0,170.154225,805579.0,492.4077017114914,204950.0,125.27506112469437,200348.0,122.46210268948656,193048.0,118.0,0.0,65535.0,65535.0,65535.0
51,DAPI-FIXED,15:54:00.196000,00:00:00,D03 : Site 4,440.0,12353.52,3.0,264.48789375,925820.0,364.06606370428625,311111.0,122.34014942980731,314294.0,123.59182068423122,300027.0,117.98151789225325,0.0,65535.0,65535.0,65535.0
52,DAPI-FIXED,15:54:00.196000,00:00:00,D03 : Site 4,440.0,12353.52,4.0,323.97946875,980754.0,314.84879614767254,379531.0,121.83980738362762,370075.0,118.80417335473516,364024.0,116.86163723916533,0.0,65535.0,65535.0,65535.0
53,DAPI-FIXED,15:54:00.196000,00:00:00,D03 : Site 4,440.0,12353.52,5.0,210.7166625,553438.0,273.16781836130303,246120.0,121.48075024679171,253485.0,125.11599210266534,237925.0,117.43583415597236,0.0,65535.0,65535.0,65535.0
54,DAPI-FIXED,15:54:00.196000,00:00:00,D03 : Site 4,440.0,12353.52,6.0,358.09351875000004,1002208.0,291.08568109207084,422627.0,122.74963694452512,428909.0,124.57420853906477,464365.0,134.87220447284346,0.0,65535.0,65535.0,65535.0
55,DAPI-FIXED,15:54:00.196000,00:00:00,D03 : Site 4,440.0,12353.52,7.0,343.4286375,968153.0,293.20199878861297,410769.0,124.40006056935191,552698.0,167.38279830405816,389079.0,117.8313143549364,0.0,65535.0,65535.0,65535.0
56,DAPI-FIXED,15:54:00.196000,00:00:00,D03 : Site 4,440.0,12353.52,8.0,262.09575,680385.0,269.9940476190476,310353.0,123.15595238095239,309059.0,122.64246031746032,335185.0,133.00992063492063,0.0,65535.0,65535.0,65535.0
57,DAPI-FIXED,15:54:00.196000,00:00:00,D03 : Site 4,440.0,12353.52,9.0,293.08961250000004,649493.0,230.48012775017742,343436.0,121.8722498225692,344249.0,122.16075230660043,331437.0,117.61426543647977,0.0,65535.0,65535.0,65535.0
58,DAPI-FIXED,15:54:00.196000,00:00:00,D03 : Site 4,440.0,12353.52,10.0,283.9370625,646981.0,236.9893772893773,329586.0,120.72747252747253,325578.0,119.25934065934067,319259.0,116.94468864468864,0.0,65535.0,65535.0,65535.0
59,DAPI-FIXED,15:54:00.196000,00:00:00,D03 : Site 4,440.0,12353.52,11.0,237.44626875000003,659264.0,288.77091546211125,281903.0,123.47919404292597,280072.0,122.67717915024092,291624.0,127.73718791064388,0.0,65535.0,65535.0,65535.0
60,DAPI-FIXED,15:54:00.196000,00:00:00,D03 : Site 4,440.0,12353.52,12.0,389.6074125,1067731.0,285.0323011211959,462492.0,123.4628937533369,452173.0,120.70822210357714,440124.0,117.49172450613989,0.0,65535.0,65535.0,65535.0
61,DAPI-FIXED,15:54:00.196000,00:00:00,D03 : Site 4,440.0,12353.52,13.0,239.11036875000002,615485.0,267.718573292736,279802.0,121.70595911265768,291427.0,126.76250543714659,277039.0,120.50413223140495,0.0,65535.0,65535.0,65535.0
62,DAPI-FIXED,15:54:00.196000,00:00:00,D03 : Site 4,440.0,12353.52,14.0,236.92623749999998,596533.0,261.86698858647935,277690.0,121.900790166813,279171.0,122.55092186128182,266759.0,117.10228270412642,0.0,65535.0,65535.0,65535.0
63,DAPI-FIXED,15:54:00.196000,00:00:00,D03 : Site 4,440.0,12353.52,15.0,287.88930000000005,850699.0,307.3334537572254,332818.0,120.23771676300578,338245.0,122.19833815028902,336956.0,121.73265895953757,0.0,65535.0,65535.0,65535.0
64,DAPI-FIXED,15:54:00.196000,00:00:00,D03 : Site 4,440.0,12353.52,16.0,347.17286250000006,980908.0,293.86099460754946,410998.0,123.12702216896345,411258.0,123.20491312162972,388136.0,116.27801078490114,0.0,65535.0,65535.0,65535.0
65,DAPI-FIXED,15:54:08.215000,00:00:00,D03 : Site 5,440.0,12344.3,1.0,236.09418750000003,635016.0,279.74273127753304,274735.0,121.02863436123349,273469.0,120.47092511013216,318723.0,140.40660792951542,0.0,65535.0,65535.0,65535.0
66,DAPI-FIXED,15:54:08.215000,00:00:00,D03 : Site 5,440.0,12344.3,2.0,241.9185375,657614.0,282.7231298366294,281587.0,121.06061908856405,281011.0,120.81298366294067,347132.0,149.23989681857265,0.0,65535.0,65535.0,65535.0
67,DAPI-FIXED,15:54:08.215000,00:00:00,D03 : Site 5,440.0,12344.3,3.0,294.64970625,931237.0,328.71055418284504,343835.0,121.3678079774091,347328.0,122.60077656194846,369519.0,130.4338157430286,0.0,65535.0,65535.0,65535.0
68,DAPI-FIXED,15:54:08.215000,00:00:00,D03 : Site 5,440.0,12344.3,4.0,365.99799375000003,1059594.0,301.10656436487636,425941.0,121.0403523728332,422088.0,119.94543904518329,414732.0,117.85507246376811,0.0,65535.0,65535.0,65535.0
69,DAPI-FIXED,15:54:08.215000,00:00:00,D03 : Site 5,440.0,12344.3,5.0,309.93862500000006,955595.0,320.66946308724835,358351.0,120.25201342281879,356826.0,119.74026845637584,346612.0,116.31275167785235,0.0,65535.0,65535.0,65535.0
70,DAPI-FIXED,15:54:08.215000,00:00:00,D03 : Site 5,440.0,12344.3,6.0,343.63665,1011707.0,306.2067191283293,400808.0,121.30992736077482,400190.0,121.12288135593221,389307.0,117.828995157385,0.0,65535.0,65535.0,65535.0
71,DAPI-FIXED,15:54:08.215000,00:00:00,D03 : Site 5,440.0,12344.3,7.0,326.7876375,991019.0,315.4102482495226,380970.0,121.25079567154678,375874.0,119.62889879057924,366911.0,116.77625716104392,0.0,65535.0,65535.0,65535.0
72,DAPI-FIXED,15:54:08.215000,00:00:00,D03 : Site 5,440.0,12344.3,8.0,329.80381875,942048.0,297.0823084200568,384600.0,121.28666035950805,382222.0,120.53673919899086,407614.0,128.5443077893409,0.0,65535.0,65535.0,65535.0
73,DAPI-FIXED,15:54:08.215000,00:00:00,D03 : Site 5,440.0,12344.3,9.0,302.76219375,901004.0,309.5170044658193,354143.0,121.65681896255582,353562.0,121.45723119203024,423469.0,145.4720027481965,0.0,65535.0,65535.0,65535.0
74,DAPI-FIXED,15:54:08.215000,00:00:00,D03 : Site 5,440.0,12344.3,10.0,357.57348750000006,1065779.0,309.999709133217,419902.0,122.13554392088423,428167.0,124.53955788248982,404930.0,117.78068644560791,0.0,65535.0,65535.0,65535.0
75,DAPI-FIXED,15:54:08.215000,00:00:00,D03 : Site 5,440.0,12344.3,11.0,434.5381125,1135328.0,271.73958831977023,504480.0,120.7467687888942,503714.0,120.56342747726185,484256.0,115.90617520344662,0.0,65535.0,65535.0,65535.0
76,DAPI-FIXED,15:54:08.215000,00:00:00,D03 : Site 5,440.0,12344.3,12.0,316.3870125,957328.0,314.7034845496384,369155.0,121.35272846811309,369164.0,121.35568704799473,357887.0,117.64858645627876,0.0,65535.0,65535.0,65535.0
77,DAPI-FIXED,15:54:08.215000,00:00:00,D03 : Site 5,440.0,12344.3,13.0,325.53956250000005,986671.0,315.23035143769965,382871.0,122.32300319488817,388282.0,124.0517571884984,510963.0,163.24696485623002,0.0,65535.0,65535.0,65535.0
